case_id,event_id,timestamp,event_label,actor,tool,context_note,related_activity_id
MORNING_2026_02_20,E01,2026-02-20T06:45:00,AlarmRingsAndSnooze,Participant,Smartphone alarm,"Alarm rings and is snoozed once.",A01
MORNING_2026_02_20,E02,2026-02-20T06:50:00,StopAlarmAndCheckPhone,Participant,Smartphone,"Alarm stopped; notifications checked before standing up.",A01
MORNING_2026_02_20,E03,2026-02-20T06:52:00,ReplyToRoommateMessage,Participant,Messaging app,"Replies to a short roommate message about a shared household item.",NA
MORNING_2026_02_20,E04,2026-02-20T06:55:00,DrinkWater,Participant,Kitchen glass,"Drinks one glass of water in kitchen.",A02
MORNING_2026_02_20,E05,2026-02-20T06:57:00,ToiletAndShower,Participant,Bathroom,"Combined hygiene block; near lower-bound duration and shifted later than expected window.",A03
MORNING_2026_02_20,E06,2026-02-20T07:07:00,DressForDay,Participant,Wardrobe,"Gets dressed for campus day.",A04
MORNING_2026_02_20,E07,2026-02-20T07:12:00,StartCoffeeAndToast,Participant,"Coffee machine, toaster","Starts breakfast preparation.",A05
MORNING_2026_02_20,E08,2026-02-20T07:16:00,SwitchBreakfastToBanana,Participant,Kitchen,"No bread available; replaces toast with banana.",A05
MORNING_2026_02_20,E09,2026-02-20T07:18:00,PackBag,Participant,Backpack,"Packs laptop and study materials after breakfast prep has started.",A04
MORNING_2026_02_20,E10,2026-02-20T07:21:00,FindKeysAndBorrowLock,Participant,"Keys, messaging app","Cannot find own lock; borrows roommate lock through text.",A08
MORNING_2026_02_20,E11,2026-02-20T07:23:00,BrushTeeth,Participant,Toothbrush,"Performs dental care before coffee is moved to thermos.",A07
MORNING_2026_02_20,E12,2026-02-20T07:26:00,CheckWeatherAndBusApp,Participant,"Weather app, transport app","Checks rain and bus delay information.",A08
MORNING_2026_02_20,E13,2026-02-20T07:28:00,PourCoffeeToGo,Participant,Thermos,"Pours coffee to thermos; no seated breakfast event is recorded.",A05
MORNING_2026_02_20,E14,2026-02-20T07:30:00,LeaveApartment,Participant,Front door,"Leaves apartment and starts commute.",A09
